,corrected_question,sparql_query,answer,entity,wiki_answer
701,Who are the associated musical artist of Carolyn Dennis?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Carolyn_Dennis> <http://dbpedia.org/ontology/associatedMusicalArtist> ?uri } ,"['http://dbpedia.org/resource/Bob_Dylan', 'http://dbpedia.org/resource/Kenny_Loggins', 'http://dbpedia.org/resource/Michael_Jackson', 'http://dbpedia.org/resource/Wonderlove', 'http://dbpedia.org/resource/The_Carpenters', 'http://dbpedia.org/resource/Bruce_Springsteen']",Carolyn Dennis,"Slow Train Coming
Saved
Empire Burlesque"
708,name the home stadium of FC Spartak Moscow season 2011-12, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2011–12_FC_Spartak_Moscow_season> <http://dbpedia.org/ontology/homeStadium> ?uri } ,['http://dbpedia.org/resource/Luzhniki_Stadium'],FC Spartak Moscow,"Olympiacos
 Red Star Belgrade"
730,What is the genre of Battle Chess?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Battle_Chess> <http://dbpedia.org/property/genre> ?uri } ,['http://dbpedia.org/resource/Chess'],Battle Chess,traditional chess
733,What is the style of architecture of Pontiac Building ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pontiac_Building> <http://dbpedia.org/ontology/architecturalStyle> ?uri } ,['http://dbpedia.org/resource/Chicago'],Pontiac Building,"Sorry, answer not found!"
748,Who is the producer of Captain EO ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Captain_EO> <http://dbpedia.org/property/producer> ?uri } ,"['George Lucas', '', 'Rusty Lemorande']",Captain EO,Bob Iger
763,Who is the stockholder of Paphos International Airport ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paphos_International_Airport> <http://dbpedia.org/property/owner> ?uri } ,['http://dbpedia.org/resource/Cyprus'],Paphos International Airport,Hermes Airports Limited
767,In which races does Coneygree compete?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Coneygree> <http://dbpedia.org/property/race> ?uri } ,"['http://dbpedia.org/resource/Cheltenham_Gold_Cup', ""http://dbpedia.org/resource/Kauto_Star_Novices'_Chase"", 'http://dbpedia.org/resource/Denman_Chase', ""http://dbpedia.org/resource/Berkshire_Novices'_Chase"", ""http://dbpedia.org/resource/Bristol_Novices'_Hurdle"", ""http://dbpedia.org/resource/Hyde_Novices'_Hurdle""]",Coneygree,racing
776,For which team does Ramiro Pea play ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ramiro_Peña> <http://dbpedia.org/ontology/team> ?uri } ,['http://dbpedia.org/resource/Sultanes_de_Monterrey'],Ramiro Pea,"Sorry, answer not found!"
784,which person created the women in the garden?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Women_in_the_Garden> <http://dbpedia.org/property/artist> ?uri } ,[],NotFound,"Sorry, answer not found!"
785,Who is the composer of Girl from the North Country ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Girl_from_the_North_Country> <http://dbpedia.org/ontology/composer> ?uri } ,[],North Country,Bob Dylan
790,List the main ingredient of Pizza-ghetti ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pizza-ghetti> <http://dbpedia.org/property/mainIngredient> ?uri } ,[],NotFound,"Sorry, answer not found!"
798,tell me the school to which Cyril Hume went?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cyril_Hume> <http://dbpedia.org/property/education> ?uri } ,['http://dbpedia.org/resource/Yale_University'],Cyril Hume,Yale University Press
799,where did Boga originate?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Boga_(soft_drink)> <http://dbpedia.org/property/origin> ?uri } ,['http://dbpedia.org/resource/Tunisia'],Boga,Bogë
803,What are the houses of Parliament Security Services ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Parliament_Security_Services> <http://dbpedia.org/property/houses> ?uri } ,"['http://dbpedia.org/resource/Rajya_Sabha', 'http://dbpedia.org/resource/Lok_Sabha', '']",Parliament Security Services,"Sorry, answer not found!"
806,Who is the incumbent of Al Gore presidential campaign of 2000 ?," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Al_Gore_presidential_campaign,_2000> <http://dbpedia.org/ontology/incumbent> ?uri } ",[],Al Gore,Bill Clinton
813,Which nation is the origin of Dornier Aerodyne ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dornier_Aerodyne> <http://dbpedia.org/property/nationalOrigin> ?uri } ,['http://dbpedia.org/resource/West_Germany'],Dornier Aerodyne,1983
816,Which type of  building is Qun Thnh Temple ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Quán_Thánh_Temple> <http://dbpedia.org/property/buildingType> ?uri } ,"['http://dbpedia.org/resource/Taoism', 'http://dbpedia.org/resource/Temple']",Qun Thnh Temple,"Sorry, answer not found!"
842,List the characters of Lysistrata ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lysistrata> <http://dbpedia.org/property/characters> ?uri } ,"['', 'Baby', 'Lysistrata', 'Magistrate', 'Cinesias', 'Doorkeeper', 'Myrrhine', 'Athenian Delegates', 'Athenian Negotiator', 'Calonice', 'Five Young Women', 'Lampito', 'Spartan Ambassador', 'Spartan Herald', 'Stratyllis', 'Two Diners', 'Two Layabouts']",Lysistrata,"Sex strike
List"
849,What is the meaning of Heydar ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heydar> <http://dbpedia.org/property/meaning> ?uri } ,['http://dbpedia.org/resource/Lion'],Heydar,a work of poetry
852,Sentinel High School  team is known as ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sentinel_High_School> <http://dbpedia.org/property/teamName> ?uri } ,['Spartans'],Sentinel High School,"Band and Jazz Band
Choir
Orchestra
Drama"
872,What is the broadcast area of WBCQ (SW) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WBCQ_(SW)> <http://dbpedia.org/property/area> ?uri } ,"['http://dbpedia.org/resource/North_America', 'http://dbpedia.org/resource/Asia', 'http://dbpedia.org/resource/Europe']",WBCQ (SW),shortwave
891,What is the location of Sam Sen Railway Station ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sam_Sen_Railway_Station> <http://dbpedia.org/property/other> ?uri } ,[],Sam Sen Railway Station,Kanlapapruek Depot
893,Which minister was responsible for Kriminalpolizie?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kriminalpolizei> <http://dbpedia.org/ontology/leader> ?uri } ,[],NotFound,"Sorry, answer not found!"
896,What ingredients are used in preparing the dish of Ragout fin?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ragout_fin> <http://dbpedia.org/ontology/ingredient> ?uri } ,"['http://dbpedia.org/resource/Roux', 'http://dbpedia.org/resource/Tongue', 'http://dbpedia.org/resource/Fish', 'http://dbpedia.org/resource/Veal', 'http://dbpedia.org/resource/Button_mushroom', 'http://dbpedia.org/resource/Sweetbread', 'http://dbpedia.org/resource/Egg_yolk', 'http://dbpedia.org/resource/Chicken_(food)', 'http://dbpedia.org/resource/Bone_marrow', 'http://dbpedia.org/resource/Butter', 'http://dbpedia.org/resource/Brain']",Ragout fin,veal dishes
903,What is the homeport of INS Viraat (R22) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/INS_Viraat_(R22)> <http://dbpedia.org/ontology/homeport> ?uri } ,[],R22,"Sorry, answer not found!"
906,Where was William anthony trained ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Anthony_(artist)> <http://dbpedia.org/property/training> ?uri } ,"['http://dbpedia.org/resource/Yale_University', 'Art Students League of New York', 'San Francisco Art Institute']",William anthony,"Sorry, answer not found!"
908,Name the wine regions of Bogdanua ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bogdanuša> <http://dbpedia.org/ontology/wineRegion> ?uri } ,['http://dbpedia.org/resource/Croatia'],wine,Argentina and the Canary Islands
912,What are the things built by Eristoff ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eristoff> <http://dbpedia.org/property/manufacturer> ?uri } ,['http://dbpedia.org/resource/Bacardi'],Eristoff,legends and folklore
913,What is the official residence of Sarah Kazemy ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sarah_Kazemy> <http://dbpedia.org/property/residence> ?uri } ,[],Sarah Kazemy,Tehran
916,Who was the coach of 1972 Oakland Raiders season ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1972_Oakland_Raiders_season> <http://dbpedia.org/ontology/coach> ?uri } ,['http://dbpedia.org/resource/John_Madden_(American_football)'],Oakland Raiders,Mike White
920,What are on the borders of Shimsa Plateau?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Shimōsa_Plateau> <http://dbpedia.org/ontology/border> ?uri } ,[],NotFound,"Sorry, answer not found!"
929,Which are the races in which Martin Molony participated?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Martin_Molony> <http://dbpedia.org/ontology/race> ?uri } ,"['http://dbpedia.org/resource/Irish_Grand_National', 'http://dbpedia.org/resource/Irish_Oaks', 'http://dbpedia.org/resource/Cheltenham_Gold_Cup', 'http://dbpedia.org/resource/Irish_Classic_Races', 'http://dbpedia.org/resource/Irish_2,000_Guineas', 'http://dbpedia.org/resource/Irish_1,000_Guineas', 'http://dbpedia.org/resource/National_Hunt']",Martin,magister militum per Armeniam
935,List the products of Playboy Enterprises?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Playboy_Enterprises> <http://dbpedia.org/property/products> ?uri } ,"['http://dbpedia.org/resource/Sex_industry', 'http://dbpedia.org/resource/Playboy', 'http://dbpedia.org/resource/Playboy_Enterprises', 'http://dbpedia.org/resource/Playboy_TV']",Playboy Enterprises,"Handles Playboy trademarks on apparel, accessories, collectibles"
938,What  is the Nickname of Daniel O'Regan ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Daniel_O'Regan> <http://dbpedia.org/property/nickname> ?uri } ,[],Daniel O'Regan,Junior Kiwi
958,Who is the licensee of EXXV-TV ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/EXXV-TV> <http://dbpedia.org/property/licensee> ?uri } ,"['http://dbpedia.org/resource/Mississippi', 'http://dbpedia.org/resource/Incorporation_(business)', 'Morris Network of']",EXXV-TV,CBS and the Warner Bros. unit of Time Warner
959,Who are in the board of Jimmy Wales ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jimmy_Wales> <http://dbpedia.org/ontology/board> ?uri } ,"['http://dbpedia.org/resource/Guardian_Media_Group', 'http://dbpedia.org/resource/MIT_Center_for_Collective_Intelligence', 'http://dbpedia.org/resource/Creative_Commons', 'http://dbpedia.org/resource/Sunlight_Foundation', 'http://dbpedia.org/resource/Wikimedia_Foundation']",Jimmy Wales,Creative Commons and Hunch.com
962,Who is the nominee of Jack Ryan ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jack_Ryan_(politician)> <http://dbpedia.org/ontology/nominee> ?uri } ,[],Jack Ryan,John Ryan
965,List the major shrines of Jovan Vladimir?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jovan_Vladimir> <http://dbpedia.org/property/majorShrine> ?uri } ,"['Monastery of St Jovan Vladimir, near Elbasan, Albania']",Jovan Vladimir,"Footnotes

Citations"
977,Who owns the ford kansas assembly plant?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ford_Kansas_City_Assembly_Plant> <http://dbpedia.org/ontology/owningOrganisation> ?uri } ,[],kansas,"Crosby, Nichols and Company"
978,What is the label of I Pray on Christmas ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/I_Pray_on_Christmas> <http://dbpedia.org/property/label> ?uri } ,"['http://dbpedia.org/resource/Sony', 'http://dbpedia.org/resource/Columbia_Records']",Christmas,Happy Holidays
979,List the destination of Novair International Airways ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Novair_International_Airways> <http://dbpedia.org/ontology/destination> ?uri } ,"['http://dbpedia.org/resource/North_America', 'http://dbpedia.org/resource/Mediterranean']",Novair International Airways,External links
980,Who is the spouse of Willian Menalaus?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Menelaus> <http://dbpedia.org/ontology/spouse> ?uri } ,[],Menalaus,Helen
989,What is the location town of Seattle Great Wheel ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Seattle_Great_Wheel> <http://dbpedia.org/property/locationTown> ?uri } ,[],Seattle Great Wheel,Seattle Great Wheel
990,List all the line of Vadodara Junction railway station?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vadodara_Junction_railway_station> <http://dbpedia.org/property/line> ?uri } ,"['http://dbpedia.org/resource/Ahmedabad–Mumbai_main_line', 'http://dbpedia.org/resource/New_Delhi–Mumbai_main_line', 'Vadodara–Chhota Udaipur line']",Vadodara Junction railway station,References
991,Name the college of Jon Curran ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jon_Curran> <http://dbpedia.org/property/college> ?uri } ,['http://dbpedia.org/resource/Vanderbilt_University'],Jon Curran,Tour Finals
995,Name the Artist of Madagascar: Operation Penguin ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Madagascar:_Operation_Penguin> <http://dbpedia.org/property/artist> ?uri } ,['http://dbpedia.org/resource/Hans_Zimmer'],Madagascar,Outline of Madagascar
998,What is the layout of Subaru Legacy (second generation) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Subaru_Legacy_(second_generation)> <http://dbpedia.org/ontology/layout> ?uri } ,"['http://dbpedia.org/resource/North_America', 'http://dbpedia.org/resource/F4_layout', 'http://dbpedia.org/resource/FF_layout']",Subaru Legacy,right-hand drive
1012,Name the street address of Rhodes-Haverty Building ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rhodes-Haverty_Building> <http://dbpedia.org/property/address> ?uri } ,[],Rhodes-Haverty Building,Peachtree Street
1023,Name the prospect team of Mikhail Pashnin ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mikhail_Pashnin> <http://dbpedia.org/property/prospectTeam> ?uri } ,[],Mikhail Pashnin,Lokomotiv Yaroslavl
1024,What is the predecessor of BMW M40 ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BMW_M40> <http://dbpedia.org/property/predecessor> ?uri } ,['http://dbpedia.org/resource/BMW_M10'],BMW M40,The M40B16
1033,"Who is the opponent of United States House of Representatives elections in Ohio, 2010 ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/United_States_House_of_Representatives_elections_in_Ohio,_2010> <http://dbpedia.org/property/opponent> ?uri } ",[],Ohio,Governor Strickland
1037,Which is the nearest city to Elliott Bay ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elliott_Bay> <http://dbpedia.org/ontology/nearestCity> ?uri } ,['http://dbpedia.org/resource/Seattle'],Elliott Bay,Everett
1040,who was the australian flagbearer of 2008 Summer Olympics?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Australia_at_the_2008_Summer_Olympics> <http://dbpedia.org/property/flagbearer> ?uri } ,"['http://dbpedia.org/resource/James_Tomkins_(rower)', 'http://dbpedia.org/resource/Stephanie_Rice']",2008 Summer Olympics,Brunei
1052,What is the rank of Julius C. Burrows politically?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Julius_C._Burrows> <http://dbpedia.org/property/order> ?uri } ,"['http://dbpedia.org/resource/United_States_Senate', 'from Michigan']",Julius C. Burrows,Republican
1055,What sports are played at Vishwajyot High School?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vishwajyot_High_School> <http://dbpedia.org/ontology/sport> ?uri } ,"['http://dbpedia.org/resource/Chess', 'http://dbpedia.org/resource/Basketball', 'http://dbpedia.org/resource/Association_football', 'http://dbpedia.org/resource/Athletics_(sport)', 'http://dbpedia.org/resource/Cricket', 'http://dbpedia.org/resource/Team_handball']",Vishwajyot High School,"music, dance, arts and sports"
1063,What is the municipality of Patterson Houses ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Patterson_Houses> <http://dbpedia.org/ontology/municipality> ?uri } ,[],Patterson Houses,Bronx
1067,where did soccer bowl take place in 76?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Soccer_Bowl_'76> <http://dbpedia.org/ontology/city> ?uri } ,"['http://dbpedia.org/resource/Seattle,_Washington']",76,gas station
1080,What are the border of High Desert (Oregon)?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/High_Desert_(Oregon)> <http://dbpedia.org/ontology/border> ?uri } ,[],Oregon,Columbia Plateau
1081,What is the location city of Burnside Distribution Corporation ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Burnside_Distribution_Corporation> <http://dbpedia.org/ontology/locationCity> ?uri } ,[],Burnside,Burnside
1083,Where is Oskar Blues located ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Oskar_Blues_Brewery> <http://dbpedia.org/property/location> ?uri } ,"['http://dbpedia.org/resource/Longmont,_Colorado', 'http://dbpedia.org/resource/Colorado']",Oskar Blues,"Sorry, answer not found!"
1087,Which holy places did consider Pope Gregory I as a saint?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pope_Gregory_I> <http://dbpedia.org/property/veneratedIn> ?uri } ,[],saint,Saints for Dummies
1094,In which province was Dick Redding born?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dick_Redding> <http://dbpedia.org/property/birthDate> ?uri } ,"[datetime.date(1893, 4, 15), 'http://dbpedia.org/resource/Atlanta']",Dick Redding,Atlanta
1102,Name the death location of Judson Huss ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Judson_Huss> <http://dbpedia.org/property/deathPlace> ?uri } ,"['Paris, France']",Judson Huss,References
1104,What is the affiliation of tani University ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ōtani_University> <http://dbpedia.org/property/affiliation> ?uri } ,['http://dbpedia.org/resource/Buddhism'],NotFound,"Sorry, answer not found!"
1105,What is the base currency of Benelux ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Benelux> <http://dbpedia.org/property/currency> ?uri } ,['http://dbpedia.org/resource/Euro'],Benelux,border neutral
1115,Where is the south shore plaza located?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/South_Shore_Plaza> <http://dbpedia.org/property/address> ?uri } ,[250],south shore plaza,"Sorry, answer not found!"
1121,Spanish harlem incident was composed by whom ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Spanish_Harlem_Incident> <http://dbpedia.org/ontology/composer> ?uri } ,[],Spanish harlem incident,"Sorry, answer not found!"
1135,What religion did Gamini Seneviratne follow?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gamini_Seneviratne> <http://dbpedia.org/ontology/religion> ?uri } ,[],Gamini Seneviratne,"Sorry, answer not found!"
1157,What is the nationality of Sune Agerschou ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sune_Agerschou> <http://dbpedia.org/ontology/nationality> ?uri } ,['http://dbpedia.org/resource/Denmark'],Sune Agerschou,"Sorry, answer not found!"
1158,What is the PLACE OF DEATH of Charles Gordon (artist) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Charles_Gordon_(artist)> <http://dbpedia.org/property/placeOfDeath> ?uri } ,[],Gordon,"Gordon
Justice Gordon"
1159,Namt the fields of Paul Demiville ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paul_Demiéville> <http://dbpedia.org/property/fields> ?uri } ,"['http://dbpedia.org/resource/Buddhism', 'http://dbpedia.org/resource/Chinese_poetry']",Paul Demiville,"Sorry, answer not found!"
1170,List the school of Bobby Skinstad?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bobby_Skinstad> <http://dbpedia.org/property/school> ?uri } ,"['http://dbpedia.org/resource/South_Africa', 'http://dbpedia.org/resource/KwaZulu-Natal', 'http://dbpedia.org/resource/Hilton,_KwaZulu-Natal', 'http://dbpedia.org/resource/Hilton_College_(South_Africa)']",Bobby Skinstad,Highbury Preparatory School
1177,Name the parent company of Ford Falcon Cobra ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ford_Falcon_Cobra> <http://dbpedia.org/ontology/parentCompany> ?uri } ,['http://dbpedia.org/resource/Ford_Motor_Company'],Falcon Cobra,Carroll Shelby
1182,List the relatives of Lyubov Dostoyevskaya ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lyubov_Dostoyevskaya> <http://dbpedia.org/property/relatives> ?uri } ,[],Lyubov Dostoyevskaya,See also
1188,Who is the developer of Dart (programming language) ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dart_(programming_language)> <http://dbpedia.org/property/developer> ?uri } ,['http://dbpedia.org/resource/Google'],Dart (programming language),John McCutchan
1202,Where is the garrison of Western Naval Command ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Western_Naval_Command> <http://dbpedia.org/property/garrison> ?uri } ,"['http://dbpedia.org/resource/Maharashtra', 'http://dbpedia.org/resource/Mumbai']",Western Naval Command,Mumbai and Karwar
1208,Name the sports played by Jamiatu Muslim Mindanao?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jamiatu_Muslim_Mindanao> <http://dbpedia.org/ontology/athletics> ?uri } ,"['http://dbpedia.org/resource/Chess', 'http://dbpedia.org/resource/Badminton', 'http://dbpedia.org/resource/Basketball', 'http://dbpedia.org/resource/Baseball', 'http://dbpedia.org/resource/Association_football', 'http://dbpedia.org/resource/Volleyball']",Jamiatu Muslim Mindanao,"soccer football, basketball, and volleyball"
1217,What is the citizenship of Ren Romano ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/René_Romano> <http://dbpedia.org/property/citizenship> ?uri } ,[],Ren Romano,"Sorry, answer not found!"
1224,Name the driver who had a pole finish in 1989 Portuguese Grand Prix ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1989_Portuguese_Grand_Prix> <http://dbpedia.org/ontology/poleDriver> ?uri } ,['http://dbpedia.org/resource/Ayrton_Senna'],SpacyError,"Sorry, answer not found!"
1227,Name the sovereign state of Wallington railway station ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wallington_railway_station> <http://dbpedia.org/ontology/country> ?uri } ,['http://dbpedia.org/resource/United_Kingdom'],Wallington railway station,London
1229,Where does the Giannis Alafouzos originate?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Giannis_Alafouzos> <http://dbpedia.org/ontology/stateOfOrigin> ?uri } ,[],Giannis Alafouzos,SKAI
1243,Which school did Robbie Diack attend?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Robbie_Diack> <http://dbpedia.org/property/school> ?uri } ,['http://dbpedia.org/resource/Michaelhouse'],Robbie Diack,Ireland
1245,What is the broadcast area of CFRX ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/CFRX> <http://dbpedia.org/ontology/broadcastArea> ?uri } ,['http://dbpedia.org/resource/North_America'],CFRX,"Sorry, answer not found!"
1251,Name the agency of Election Commission of Thailand ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Election_Commission_of_Thailand> <http://dbpedia.org/property/agencyName> ?uri } ,"['http://dbpedia.org/resource/Thailand', 'Election Commission']",Thailand,government-sponsored family planning program
1257,Name the city of Duwamish River ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Duwamish_River> <http://dbpedia.org/ontology/city> ?uri } ,[],Duwamish River,Washington
1261,List down all the cast members of Tony n' Tina's Wedding ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tony_n'_Tina's_Wedding> <http://dbpedia.org/property/starring> ?uri } ,"['http://dbpedia.org/resource/Joey_McIntyre', 'http://dbpedia.org/resource/Mila_Kunis', 'http://dbpedia.org/resource/Adrian_Grenier']",Tony n' Tina's Wedding,Thirteen
1263,What was the result of Operation Autumn Clouds ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Operation_Autumn_Clouds> <http://dbpedia.org/property/result> ?uri } ,[],Operation Autumn Clouds,"Rocket and mortar attacks on southern Israel
Palestinian casualties of war
Israeli casualties of war"
1264,Where was the Temptation Waits recorded?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Temptation_Waits> <http://dbpedia.org/ontology/recordedIn> ?uri } ,"['http://dbpedia.org/resource/Madison,_Wisconsin', 'http://dbpedia.org/resource/Smart_Studios', 'http://dbpedia.org/resource/Wisconsin']",Temptation Waits,"Roskilde Festival, Denmark"
1273,What is the state of origin of Abbas Jafri ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Abbas_Jafri> <http://dbpedia.org/ontology/stateOfOrigin> ?uri } ,['http://dbpedia.org/resource/Pakistan'],Abbas Jafri,Pakistan
1274,which award has been won by Claudia Moro?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Claudia_Moro> <http://dbpedia.org/property/title> ?uri } ,"['http://dbpedia.org/resource/Madrid', 'http://dbpedia.org/resource/Miss_Spain_2008', 'Miss España Universo']",Claudia Moro,Miss Universe 2008 due to Rodríguez being underage  and finished in the Top 10
1283,What is the address of Federal Reserve Bank Building?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Federal_Reserve_Bank_Building_(Seattle)> <http://dbpedia.org/property/address> ?uri } ,"[10152, 'http://dbpedia.org/resource/Seattle', 'http://dbpedia.org/resource/Washington_(state)']",Federal Reserve Bank Building,"Sorry, answer not found!"
1302,Name the rivers in the hudson highlands state parts?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hudson_Highlands_State_Park> <http://dbpedia.org/property/river> ?uri } ,[],hudson highlands,"Sorry, answer not found!"
1307,Which famous political figures are relatives to George Madison?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/George_Madison> <http://dbpedia.org/ontology/relation> ?uri } ,"['http://dbpedia.org/resource/James_Madison', 'http://dbpedia.org/resource/Thomas_Madison', 'http://dbpedia.org/resource/James_Madison_(Episcopal_bishop)']",George Madison,Thomas S. Hinde
1319,Who has written the mary poppins musical?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mary_Poppins_(musical)> <http://dbpedia.org/ontology/author> ?uri } ,['http://dbpedia.org/resource/Julian_Fellowes'],mary poppins,Mary Poppins
1323,Name the university of Alexandre Tichonov ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alexandre_Tichonov> <http://dbpedia.org/property/university> ?uri } ,"['http://dbpedia.org/resource/Moscow', 'http://dbpedia.org/resource/Yuri_Gagarin_Academy']",Alexandre Tichonov,Yuri Gagarin Academy
1337,Where did Aghasalim Childagh die?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Aghasalim_Childagh> <http://dbpedia.org/property/deathDate> ?uri } ,"[datetime.date(2008, 4, 8), 'http://dbpedia.org/resource/Azerbaijan', 'http://dbpedia.org/resource/Baku', 'http://dbpedia.org/resource/Maştağa']",Aghasalim Childagh,Baku
